"","CCA1","CCA2","CCA3","CCA4","CCA5","CCA6","CCA7","CCA8","CCA9","CCA10"
"pH",-0.647881970244434,-0.124636268002833,-0.164647498936482,0.094469613908687,-0.1951680575893,-0.149693229155162,0.189441114108994,0.510479915759393,0.396684525727988,-0.119776958776422
"TP",-0.574404028916533,-0.0642118255503764,-0.085369221160158,-0.0458588626421165,-0.557560173291737,0.233314351355844,0.362692815393795,0.256783754456583,-0.109797961104144,-0.28582759362278
"TN",-0.142888991320789,-0.6107555277441,0.0173179303865269,0.341277870379296,0.320147548913833,0.0904415717277457,0.0571396034839647,-0.553924111181544,-0.0635372962773426,0.25491557767412
"AP",-0.2428785009747,-0.65730226347834,-0.0831259497829501,0.375566480253783,-0.134192674654495,0.256645489560327,-0.0753602836218427,-0.496605310545316,0.088428243588407,0.130435889451138
"SOM",-0.0991219447860732,-0.654256406523053,-0.554581490956609,0.0288311159649222,-0.393115922557056,-0.184578462634702,-0.0912580227767237,-0.216792129170249,0.0971102657080297,-0.0191033005599179
"ACP",-0.420803593272817,-0.611624598870378,-0.222472607259673,0.507678101534527,0.130873103635609,-0.0154692683733124,0.040124811812207,-0.323253608874439,-0.118304612107266,-0.0643632290079554
"ALP",-0.325174726210307,-0.393851920847677,-0.0498466612576489,-0.118356781669239,-0.191419653713546,0.287561359296288,-0.707242382354634,0.0706443651045728,0.0588120564371682,-0.307692628418062
"UE",-0.0748875575440552,-0.764436096241842,0.206500625661695,0.305470391897367,-0.3513455918384,0.325137298083495,0.101660764985638,0.0525479346657525,0.175901630165769,0.0296491514824577
"NH4N",0.838889050742762,-0.0848864294727142,0.241683598152327,-0.252670583569675,0.322030351898093,-0.0101905854499301,0.044581846521734,-0.229516150062334,-0.0766323894117552,0.049607926351412
"NO3N",-0.20460236675719,-0.483146219474989,-0.194328714678802,0.376648775295553,-0.169200090802011,0.202081557569466,-0.0358878211452088,0.349279936218565,0.409967338953058,0.429250972797116
