"","Axis1","Axis2","Axis3","Axis4","Axis5"
"CK1",2.76209034884636,11.7188216964348,-1.45715946755596,2.48591048541209,0.616144376024352
"CK2",-2.64912839562966,0.59543815874128,-0.137379962882371,1.47271252056728,0.0339097065979365
"CK3",-2.15130587259564,0.567358473992585,-2.55210626490912,1.98716837860493,-0.920826856416735
"JXBR161",1.12101197205513,-0.0183784736725628,-1.31047339220844,-1.167814330091,-4.41528753244767
"JXBR162",-2.01802578187838,-0.756737339783707,-0.755266809312019,-1.45801396768623,-1.58396425673545
"JXBR163",-3.39808939394841,-1.78294032851931,-1.750944730659,-0.40057635587574,-0.812980162135091
"RW371",-0.904124143231217,-1.39660712770247,7.98278037079299,2.81707310000355,-5.08521376526904
"RW372",1.53699616548081,0.569796700306555,7.69592807573364,-2.11974927564635,5.78260479835476
"RW373",-5.70887339946999,-3.06761730187883,-2.20167047047068,3.93885187676765,5.03947615385993
"R37J161",1.08738913472244,0.879353343437669,-1.21761415157328,-8.3202864678924,0.314502449205985
"R37J162",12.6639039666663,-4.98863859827387,-2.2492352230245,2.49540519789336,0.850054404121276
"R37J163",-2.34184460101771,-2.31984920308208,-2.04685797393126,-1.73068116205712,0.181580684839756
